model,split,n,invoked,solved,gap,gap_process_no,gap_process_yes_response_no,gap_uncertain,gap_with_rollout_error,gap_without_target_2xx,total_missing_parameter_crashes,gap_missing_parameter_crashes,total_output_keys_crashes,total_judge_errors
original,T_r,100,91,42,49,23,17,9,1,3,0,0,0,1
original,T_f,100,93,41,52,23,23,6,6,0,0,0,0,0
unlearned,T_r,100,86,29,57,37,12,8,3,1,0,0,0,0
unlearned,T_f,100,68,11,57,37,11,9,10,5,8,5,1,0
hybrid,T_r,100,88,33,55,36,13,6,2,1,0,0,0,0
hybrid,T_f,100,87,21,66,44,14,8,12,7,10,5,1,0
