model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dangerous Discord Database::0,Dangerous Discord Database,0,96,1,searchMaliciousAccounts,665,50,0.907006427870947,-14.945924758911133,22,0.7928849856662882,-14.84941291809082,28,0.9966732753174645,-0.0965118408203125
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dangerous Discord Database::1,Dangerous Discord Database,1,96,8,searchMaliciousAccounts,670,59,0.8525336649626436,-41.41254425048828,28,0.6898940274047942,-41.3948860168457,31,0.99943398275683,-0.017658233642578125
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GraphHopper::0,GraphHopper,0,208,0,getDetails,1224,51,0.8680976560380567,-34.92122268676758,18,0.7751519489686984,-22.165142059326172,33,0.9187953144395248,-12.756080627441406
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GraphHopper::1,GraphHopper,1,208,6,routeOptimization,1216,167,0.9302999436608919,-50.220293045043945,19,0.7574093767294758,-12.078874588012695,148,0.9524953542804655,-38.14141845703125
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,isEven (humor)::0,isEven (humor),0,432,4,checkNumber,273,37,0.8739291154180215,-32.40799331665039,13,0.6530431504804899,-32.24068069458008,24,0.9935756797591845,-0.1673126220703125
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,isEven (humor)::1,isEven (humor),1,432,9,checkNumber,270,36,0.8639315176695466,-37.34901237487793,13,0.6380615395829897,-37.13433265686035,23,0.9915971574576005,-0.21467971801757812
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,The Muse::0,The Muse,0,407,0,searchJobs,746,70,0.9549849140624116,-12.22578239440918,25,0.9120249267760664,-9.839500427246094,45,0.9788515736659368,-2.386281967163086
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,The Muse::1,The Muse,1,407,5,getJobApplications,746,48,0.9712061201862525,-5.834081649780273,17,0.922454796211027,-5.768726348876953,31,0.9979407172049245,-0.06535530090332031
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dictum::0,Dictum,0,222,0,getRandomQuote,599,33,0.849224822594357,-41.74917030334473,15,0.7353569569036279,-36.98099327087402,18,0.9441147106699646,-4.768177032470703
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dictum::1,Dictum,1,222,8,searchExpressions,606,54,0.8947585537063273,-54.69601821899414,17,0.7971601959737447,-36.10399627685547,37,0.9396010423942708,-18.592021942138672
